rank,recommendation_id,action_type,target_type,target_id,priority,status,trigger,reason,evidence_summary,source_view,created_at,orders,revenue,monetary_value,recency_days,low_review_rate,late_delivery_rate,avg_review_score,seller_reliability_score,revenue_share,avg_delay_days
70,REC-0070,InvestigateLowReviewProductCategory,ProductCategory,fixed_telephony,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=217; revenue=59,583.00; low_review_rate=25.38%; avg_review_score=3.68",review_risk_by_category,2026-06-02,217.0,59583.0,,,0.2538,0.0379,3.68,,,-14.72
71,REC-0071,InvestigateLowReviewProductCategory,ProductCategory,,High,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=1451; revenue=179,535.28; low_review_rate=22.02%; avg_review_score=3.84",review_risk_by_category,2026-06-02,1451.0,179535.28,,,0.2202,0.0717,3.84,,,-11.41
72,REC-0072,InvestigateLowReviewProductCategory,ProductCategory,audio,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=350; revenue=50,688.50; low_review_rate=21.43%; avg_review_score=3.83",review_risk_by_category,2026-06-02,350.0,50688.5,,,0.2143,0.1154,3.83,,,-10.15
73,REC-0073,InvestigateLowReviewProductCategory,ProductCategory,home_confort,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=397; revenue=58,572.04; low_review_rate=20.28%; avg_review_score=3.83",review_risk_by_category,2026-06-02,397.0,58572.04,,,0.2028,0.0922,3.83,,,-9.81
74,REC-0074,InvestigateLowReviewProductCategory,ProductCategory,construction_tools_safety,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=167; revenue=40,544.52; low_review_rate=20.10%; avg_review_score=3.84",review_risk_by_category,2026-06-02,167.0,40544.52,,,0.201,0.0258,3.84,,,-12.39
75,REC-0075,InvestigateLowReviewProductCategory,ProductCategory,furniture_decor,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=6449; revenue=729,762.49; low_review_rate=19.38%; avg_review_score=3.91",review_risk_by_category,2026-06-02,6449.0,729762.49,,,0.1938,0.0689,3.91,,,-12.4
76,REC-0076,InvestigateLowReviewProductCategory,ProductCategory,bed_bath_table,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=9417; revenue=1,036,988.68; low_review_rate=18.79%; avg_review_score=3.90",review_risk_by_category,2026-06-02,9417.0,1036988.68,,,0.1879,0.0693,3.9,,,-11.66
77,REC-0077,InvestigateLowReviewProductCategory,ProductCategory,computers_accessories,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=6689; revenue=911,954.32; low_review_rate=18.58%; avg_review_score=3.93",review_risk_by_category,2026-06-02,6689.0,911954.32,,,0.1858,0.0634,3.93,,,-12.42
78,REC-0078,InvestigateLowReviewProductCategory,ProductCategory,art,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=202; revenue=24,202.64; low_review_rate=18.18%; avg_review_score=3.94",review_risk_by_category,2026-06-02,202.0,24202.64,,,0.1818,0.0574,3.94,,,-12.78
79,REC-0079,InvestigateLowReviewProductCategory,ProductCategory,furniture_living_room,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=422; revenue=68,916.56; low_review_rate=17.89%; avg_review_score=3.90",review_risk_by_category,2026-06-02,422.0,68916.56,,,0.1789,0.0696,3.9,,,-11.8
80,REC-0080,InvestigateLowReviewProductCategory,ProductCategory,home_construction,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=490; revenue=83,088.12; low_review_rate=17.72%; avg_review_score=3.94",review_risk_by_category,2026-06-02,490.0,83088.12,,,0.1772,0.0579,3.94,,,-11.56
81,REC-0081,InvestigateLowReviewProductCategory,ProductCategory,costruction_tools_garden,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=194; revenue=25,715.89; low_review_rate=17.65%; avg_review_score=4.05",review_risk_by_category,2026-06-02,194.0,25715.89,,,0.1765,0.0546,4.05,,,-13.54
82,REC-0082,InvestigateLowReviewProductCategory,ProductCategory,fashion_underwear_beach,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=121; revenue=9,541.55; low_review_rate=17.56%; avg_review_score=3.98",review_risk_by_category,2026-06-02,121.0,9541.55,,,0.1756,0.0916,3.98,,,-10.93
83,REC-0083,InvestigateLowReviewProductCategory,ProductCategory,air_conditioning,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=253; revenue=55,024.96; low_review_rate=17.51%; avg_review_score=3.97",review_risk_by_category,2026-06-02,253.0,55024.96,,,0.1751,0.037,3.97,,,-14.17
84,REC-0084,InvestigateLowReviewProductCategory,ProductCategory,telephony,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=4199; revenue=323,667.53; low_review_rate=16.74%; avg_review_score=3.95",review_risk_by_category,2026-06-02,4199.0,323667.53,,,0.1674,0.0678,3.95,,,-11.38
85,REC-0085,InvestigateLowReviewProductCategory,ProductCategory,baby,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=2885; revenue=411,764.89; low_review_rate=16.61%; avg_review_score=4.01",review_risk_by_category,2026-06-02,2885.0,411764.89,,,0.1661,0.0747,4.01,,,-11.65
86,REC-0086,InvestigateLowReviewProductCategory,ProductCategory,watches_gifts,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=5624; revenue=1,205,005.68; low_review_rate=16.14%; avg_review_score=4.02",review_risk_by_category,2026-06-02,5624.0,1205005.68,,,0.1614,0.0704,4.02,,,-11.92
87,REC-0087,InvestigateLowReviewProductCategory,ProductCategory,agro_industry_and_commerce,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=182; revenue=72,530.47; low_review_rate=16.04%; avg_review_score=4.00",review_risk_by_category,2026-06-02,182.0,72530.47,,,0.1604,0.033,4.0,,,-11.46
88,REC-0088,PromoteHighRevenueCategory,ProductCategory,health_beauty,High,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=1,258,681.34; revenue_share=9.26%; cumulative_share=9.26%; low_review_rate=13.64%",category_opportunity,2026-06-02,8836.0,1258681.34,,,0.1364,0.0741,4.14,,0.0926,-11.97
89,REC-0089,PromoteHighRevenueCategory,ProductCategory,sports_leisure,High,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=988,048.97; revenue_share=7.27%; cumulative_share=33.03%; low_review_rate=14.51%",category_opportunity,2026-06-02,7720.0,988048.97,,,0.1451,0.0616,4.11,,0.0727,-12.01
90,REC-0090,PromoteHighRevenueCategory,ProductCategory,cool_stuff,Medium,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=635,290.85; revenue_share=4.67%; cumulative_share=49.78%; low_review_rate=13.04%",category_opportunity,2026-06-02,3632.0,635290.85,,,0.1304,0.0572,4.15,,0.0467,-12.49
91,REC-0091,PromoteHighRevenueCategory,ProductCategory,toys,Medium,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=483,946.60; revenue_share=3.56%; cumulative_share=65.92%; low_review_rate=13.38%",category_opportunity,2026-06-02,3886.0,483946.6,,,0.1338,0.0622,4.16,,0.0356,-12.1
92,REC-0092,PromoteHighRevenueCategory,ProductCategory,perfumery,Medium,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=399,124.87; revenue_share=2.94%; cumulative_share=71.89%; low_review_rate=14.45%",category_opportunity,2026-06-02,3162.0,399124.87,,,0.1445,0.0635,4.17,,0.0294,-12.43
93,REC-0093,PromoteHighRevenueCategory,ProductCategory,stationery,Medium,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=230,943.23; revenue_share=1.70%; cumulative_share=77.98%; low_review_rate=12.95%",category_opportunity,2026-06-02,2311.0,230943.23,,,0.1295,0.0663,4.2,,0.017,-12.04
94,REC-0094,PromoteHighRevenueCategory,ProductCategory,computers,Medium,proposed,"pareto_band == ""top_80_percent_revenue"" and low_review_rate < 0.15","Category is revenue-critical and review risk is below the investigation threshold, so it is a candidate for promotion or protection.","revenue=222,963.13; revenue_share=1.64%; cumulative_share=79.62%; low_review_rate=12.81%",category_opportunity,2026-06-02,181.0,222963.13,,,0.1281,0.0493,4.17,,0.0164,-11.58
